date,Close,MA5,MA20,spread,cross,signal,trade,MA10,MA30,spread_10_30,cross_10_30
2025-06-17,238.35,240.37600000000003,245.71549999999996,-5.33949999999993,0.0,0,0,240.24799999999996,245.20666666666665,-4.958666666666687,0.0
2025-06-18,237.66,239.39000000000001,244.84399999999997,-5.453999999999951,0.0,0,0,239.7,245.6713333333333,-5.97133333333332,0.0
2025-06-19,234.19,237.848,243.24499999999998,-5.396999999999963,0.0,0,0,238.76,245.78766666666667,-7.027666666666676,0.0
2025-06-20,232.35,236.26,241.7395,-5.479500000000002,0.0,0,0,237.898,245.64399999999998,-7.745999999999981,0.0
2025-06-23,231.7,234.85,240.3705,-5.520499999999998,0.0,0,0,237.301,245.35533333333333,-8.054333333333346,0.0
2025-06-24,238.01,234.78199999999998,239.87149999999997,-5.089499999999987,0.0,0,0,237.579,244.986,-7.406999999999982,0.0
2025-06-25,246.99,236.648,239.917,-3.2690000000000055,0.0,0,0,238.019,244.857,-6.837999999999994,0.0
2025-06-26,244.88,238.78599999999997,239.87650000000002,-1.0905000000000484,0.0,0,0,238.317,244.53,-6.212999999999994,0.0
2025-06-27,243.08,240.93200000000002,239.83350000000002,1.0985000000000014,2.0,1,1,238.596,244.22366666666667,-5.62766666666667,0.0
2025-06-30,244.31,243.454,239.94449999999998,3.509500000000031,0.0,1,0,239.152,243.98566666666665,-4.833666666666659,0.0
2025-07-01,243.59,244.57,239.962,4.608000000000004,0.0,1,0,239.67600000000002,243.7023333333333,-4.026333333333298,0.0
2025-07-02,242.54,243.68,239.93200000000002,3.7479999999999905,0.0,1,0,240.164,243.284,-3.1200000000000045,0.0
2025-07-03,254.68,245.64000000000001,240.48650000000004,5.15349999999998,0.0,1,0,242.21299999999997,242.901,-0.688000000000045,0.0
2025-07-04,257.89,248.602,241.33249999999998,7.269500000000022,0.0,1,0,244.767,242.74866666666668,2.0183333333333167,2.0
2025-07-07,252.98,250.336,242.098,8.238,0.0,1,0,246.89500000000004,242.54533333333333,4.349666666666707,0.0
2025-07-08,255.4,252.698,243.1065,9.591499999999996,0.0,1,0,248.63400000000001,242.79233333333332,5.841666666666697,0.0
2025-07-09,262.89,256.76800000000003,244.12150000000003,12.646500000000003,0.0,1,0,250.22400000000002,243.35266666666666,6.871333333333354,0.0
2025-07-10,264.09,258.65,245.231,13.418999999999983,0.0,1,0,252.14499999999998,243.966,8.178999999999974,0.0
2025-07-11,263.59,259.79,246.39600000000002,13.394000000000005,0.0,1,0,254.196,244.62099999999998,9.575000000000017,0.0
2025-07-14,260.59,261.312,247.48799999999997,13.82400000000004,0.0,1,0,255.824,245.23766666666663,10.586333333333386,0.0
2025-07-15,259.84,262.2,248.5625,13.637499999999989,0.0,1,0,257.44899999999996,245.791,11.657999999999959,0.0
2025-07-16,256.49,260.91999999999996,249.504,11.415999999999968,0.0,1,0,258.844,246.236,12.608000000000004,0.0
2025-07-17,257.59,259.62,250.67399999999998,8.946000000000026,0.0,1,0,259.135,246.70266666666666,12.432333333333332,0.0
2025-07-18,263.29,259.56,252.221,7.338999999999999,0.0,1,0,259.675,247.44666666666666,12.228333333333353,0.0
2025-07-21,271.75,261.79200000000003,254.22349999999997,7.568500000000057,0.0,1,0,261.55199999999996,248.58266666666665,12.96933333333331,0.0
2025-07-22,278.75,265.57399999999996,256.2605,9.313499999999976,0.0,1,0,263.887,250.03333333333333,13.853666666666669,0.0
2025-07-23,279.11,270.09800000000007,257.8665,12.231500000000096,0.0,1,0,265.50899999999996,251.2506666666667,14.258333333333269,0.0
2025-07-24,277.29,274.038,259.487,14.550999999999988,0.0,1,0,266.829,252.43033333333332,14.398666666666685,0.0
2025-07-25,274.89,276.358,261.0775,15.280500000000018,0.0,1,0,267.959,253.58366666666663,14.375333333333373,0.0
2025-07-28,278.39,277.68600000000004,262.7815,14.904500000000041,0.0,1,0,269.739,254.905,14.833999999999975,0.0
2025-07-29,283.91,278.718,264.7975,13.920500000000004,0.0,1,0,272.146,256.4236666666667,15.722333333333324,0.0
2025-07-30,269.18,276.73199999999997,266.1295,10.602499999999964,0.0,1,0,273.415,257.47433333333333,15.940666666666687,0.0
2025-07-31,256.71,272.616,266.231,6.384999999999991,0.0,1,0,273.32700000000006,258.225,15.102000000000032,0.0
2025-08-01,255.16,268.67,266.09450000000004,2.575499999999977,0.0,1,0,272.514,258.98533333333336,13.528666666666652,0.0
2025-08-04,258.57,264.706,266.37399999999997,-1.6679999999999495,-2.0,0,-1,271.196,259.881,11.315000000000055,0.0
2025-08-05,257.79,259.48199999999997,266.4935,-7.011500000000012,0.0,0,0,269.1,260.5403333333333,8.559666666666715,0.0
2025-08-06,257.09,257.064,266.20349999999996,-9.139499999999941,0.0,0,0,266.898,260.877,6.021000000000015,0.0
